2019-04-09 14:50:32 install libsmartcols1:arm64 <none> 2.31.1-0.4ubuntu3
2019-04-09 14:50:32 status half-installed libsmartcols1:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:32 status unpacked libsmartcols1:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:32 status unpacked libsmartcols1:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:32 install libss2:arm64 <none> 1.44.1-1
2019-04-09 14:50:32 status half-installed libss2:arm64 1.44.1-1
2019-04-09 14:50:32 status unpacked libss2:arm64 1.44.1-1
2019-04-09 14:50:32 status unpacked libss2:arm64 1.44.1-1
2019-04-09 14:50:33 install libsystemd0:arm64 <none> 237-3ubuntu10
2019-04-09 14:50:33 status half-installed libsystemd0:arm64 237-3ubuntu10
2019-04-09 14:50:33 status unpacked libsystemd0:arm64 237-3ubuntu10
2019-04-09 14:50:33 status unpacked libsystemd0:arm64 237-3ubuntu10
2019-04-09 14:50:33 install libtinfo5:arm64 <none> 6.1-1ubuntu1
2019-04-09 14:50:33 status half-installed libtinfo5:arm64 6.1-1ubuntu1
2019-04-09 14:50:33 status unpacked libtinfo5:arm64 6.1-1ubuntu1
2019-04-09 14:50:33 status unpacked libtinfo5:arm64 6.1-1ubuntu1
2019-04-09 14:50:33 install libudev1:arm64 <none> 237-3ubuntu10
2019-04-09 14:50:33 status half-installed libudev1:arm64 237-3ubuntu10
2019-04-09 14:50:33 status unpacked libudev1:arm64 237-3ubuntu10
2019-04-09 14:50:33 status unpacked libudev1:arm64 237-3ubuntu10
2019-04-09 14:50:33 install libuuid1:arm64 <none> 2.31.1-0.4ubuntu3
2019-04-09 14:50:33 status half-installed libuuid1:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:33 status unpacked libuuid1:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:33 status unpacked libuuid1:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:33 install libzstd1:arm64 <none> 1.3.3+dfsg-2ubuntu1
2019-04-09 14:50:33 status half-installed libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2019-04-09 14:50:33 status unpacked libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2019-04-09 14:50:33 status unpacked libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2019-04-09 14:50:34 install login:arm64 <none> 1:4.5-1ubuntu1
2019-04-09 14:50:34 status half-installed login:arm64 1:4.5-1ubuntu1
2019-04-09 14:50:34 status unpacked login:arm64 1:4.5-1ubuntu1
2019-04-09 14:50:34 status unpacked login:arm64 1:4.5-1ubuntu1
2019-04-09 14:50:34 install lsb-base:all <none> 9.20170808ubuntu1
2019-04-09 14:50:34 status half-installed lsb-base:all 9.20170808ubuntu1
2019-04-09 14:50:34 status unpacked lsb-base:all 9.20170808ubuntu1
2019-04-09 14:50:34 status unpacked lsb-base:all 9.20170808ubuntu1
2019-04-09 14:50:34 upgrade mawk:arm64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2019-04-09 14:50:34 status half-configured mawk:arm64 1.3.3-17ubuntu3
2019-04-09 14:50:34 status unpacked mawk:arm64 1.3.3-17ubuntu3
2019-04-09 14:50:34 status half-installed mawk:arm64 1.3.3-17ubuntu3
2019-04-09 14:50:34 status half-installed mawk:arm64 1.3.3-17ubuntu3
2019-04-09 14:50:34 status unpacked mawk:arm64 1.3.3-17ubuntu3
2019-04-09 14:50:34 status unpacked mawk:arm64 1.3.3-17ubuntu3
2019-04-09 14:50:34 install mount:arm64 <none> 2.31.1-0.4ubuntu3
2019-04-09 14:50:34 status half-installed mount:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:34 status unpacked mount:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:34 status unpacked mount:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:35 install ncurses-base:all <none> 6.1-1ubuntu1
2019-04-09 14:50:35 status half-installed ncurses-base:all 6.1-1ubuntu1
2019-04-09 14:50:35 status unpacked ncurses-base:all 6.1-1ubuntu1
2019-04-09 14:50:35 status unpacked ncurses-base:all 6.1-1ubuntu1
2019-04-09 14:50:35 install ncurses-bin:arm64 <none> 6.1-1ubuntu1
2019-04-09 14:50:35 status half-installed ncurses-bin:arm64 6.1-1ubuntu1
2019-04-09 14:50:35 status unpacked ncurses-bin:arm64 6.1-1ubuntu1
2019-04-09 14:50:35 status unpacked ncurses-bin:arm64 6.1-1ubuntu1
2019-04-09 14:50:35 install passwd:arm64 <none> 1:4.5-1ubuntu1
2019-04-09 14:50:35 status half-installed passwd:arm64 1:4.5-1ubuntu1
2019-04-09 14:50:35 status unpacked passwd:arm64 1:4.5-1ubuntu1
2019-04-09 14:50:35 status unpacked passwd:arm64 1:4.5-1ubuntu1
2019-04-09 14:50:35 upgrade perl-base:arm64 5.26.1-6 5.26.1-6
2019-04-09 14:50:35 status half-configured perl-base:arm64 5.26.1-6
